"YEAR","MONTH","ICAO","NAME","STATE","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD","LABEL"
2014,"JUL","EDDK","Cologne-Bonn","Germany",5273,50668,7179,"Cologne-Bonn (EDDK) "
2014,"AUG","EDDK","Cologne-Bonn","Germany",5184,45395,7925,"Cologne-Bonn (EDDK) "
2014,"SEP","EDDK","Cologne-Bonn","Germany",5184,47041,8273,"Cologne-Bonn (EDDK) "
2014,"OCT","EDDK","Cologne-Bonn","Germany",5158,40132,7112,"Cologne-Bonn (EDDK) "
2014,"NOV","EDDK","Cologne-Bonn","Germany",4064,29660,5203,"Cologne-Bonn (EDDK) "
2014,"DEC","EDDK","Cologne-Bonn","Germany",3743,31132,5377,"Cologne-Bonn (EDDK) "
2014,"JAN","EDDL","Dusseldorf","Germany",5949,54416,9595,"Dusseldorf (EDDL) "
2014,"FEB","EDDL","Dusseldorf","Germany",5482,50745,8927,"Dusseldorf (EDDL) "
2014,"MAR","EDDL","Dusseldorf","Germany",6180,54892,10433,"Dusseldorf (EDDL) "
2014,"APR","EDDL","Dusseldorf","Germany",7567,65389,16053,"Dusseldorf (EDDL) "
2014,"MAY","EDDL","Dusseldorf","Germany",8588,73287,25657,"Dusseldorf (EDDL) "
2014,"JUN","EDDL","Dusseldorf","Germany",8388,71688,23338,"Dusseldorf (EDDL) "
2014,"JUL","EDDL","Dusseldorf","Germany",8284,72002,26811,"Dusseldorf (EDDL) "
2014,"AUG","EDDL","Dusseldorf","Germany",8761,80244,24924,"Dusseldorf (EDDL) "
2014,"SEP","EDDL","Dusseldorf","Germany",8447,71239,29323,"Dusseldorf (EDDL) "
2014,"OCT","EDDL","Dusseldorf","Germany",9241,82401,26612,"Dusseldorf (EDDL) "
2014,"NOV","EDDL","Dusseldorf","Germany",7915,67335,19037,"Dusseldorf (EDDL) "
2014,"DEC","EDDL","Dusseldorf","Germany",7042,61137,20160,"Dusseldorf (EDDL) "
2014,"JAN","EDDM","Munich","Germany",13091,117002,47412,"Munich (EDDM) "
2014,"FEB","EDDM","Munich","Germany",13439,120362,42510,"Munich (EDDM) "
2014,"MAR","EDDM","Munich","Germany",15127,136571,41482,"Munich (EDDM) "
2014,"APR","EDDM","Munich","Germany",14059,127759,29034,"Munich (EDDM) "
2014,"MAY","EDDM","Munich","Germany",15730,141883,37497,"Munich (EDDM) "
2014,"JUN","EDDM","Munich","Germany",15557,143050,34570,"Munich (EDDM) "
2014,"JUL","EDDM","Munich","Germany",15932,146233,37954,"Munich (EDDM) "
2014,"AUG","EDDM","Munich","Germany",14314,130785,29903,"Munich (EDDM) "
2014,"SEP","EDDM","Munich","Germany",15226,138352,39831,"Munich (EDDM) "
2014,"OCT","EDDM","Munich","Germany",14998,138850,39616,"Munich (EDDM) "
2014,"NOV","EDDM","Munich","Germany",13541,126249,36545,"Munich (EDDM) "
2014,"DEC","EDDM","Munich","Germany",12105,109503,53585,"Munich (EDDM) "
2014,"JAN","EDDN","Nuremberg","Germany",1869,13042,1041,"Nuremberg (EDDN) "
2014,"FEB","EDDN","Nuremberg","Germany",1878,13065,1411,"Nuremberg (EDDN) "
2014,"MAR","EDDN","Nuremberg","Germany",2255,15763,1450,"Nuremberg (EDDN) "
2014,"APR","EDDN","Nuremberg","Germany",2052,14159,1304,"Nuremberg (EDDN) "
2014,"MAY","EDDN","Nuremberg","Germany",2265,15911,2118,"Nuremberg (EDDN) "
2014,"JUN","EDDN","Nuremberg","Germany",2401,16918,1608,"Nuremberg (EDDN) "
2014,"JUL","EDDN","Nuremberg","Germany",2381,16343,1884,"Nuremberg (EDDN) "
2014,"AUG","EDDN","Nuremberg","Germany",NA,NA,NA,"Nuremberg (EDDN) "
2014,"SEP","EDDN","Nuremberg","Germany",2562,18175,1845,"Nuremberg (EDDN) "
2014,"OCT","EDDN","Nuremberg","Germany",2382,16842,1659,"Nuremberg (EDDN) "
2014,"NOV","EDDN","Nuremberg","Germany",2074,14450,1415,"Nuremberg (EDDN) "
2014,"DEC","EDDN","Nuremberg","Germany",1590,10980,2108,"Nuremberg (EDDN) "
2014,"JAN","EDDP","Leipzig-Halle","Germany",2215,25463,10494,"Leipzig-Halle (EDDP) "
2014,"FEB","EDDP","Leipzig-Halle","Germany",2127,24064,3215,"Leipzig-Halle (EDDP) "
2014,"MAR","EDDP","Leipzig-Halle","Germany",2348,26778,2349,"Leipzig-Halle (EDDP) "
2014,"APR","EDDP","Leipzig-Halle","Germany",2337,26307,1565,"Leipzig-Halle (EDDP) "
2014,"MAY","EDDP","Leipzig-Halle","Germany",2504,27498,1408,"Leipzig-Halle (EDDP) "
2014,"JUN","EDDP","Leipzig-Halle","Germany",2530,26672,1861,"Leipzig-Halle (EDDP) "
2014,"JUL","EDDP","Leipzig-Halle","Germany",2674,29556,4312,"Leipzig-Halle (EDDP) "
2014,"AUG","EDDP","Leipzig-Halle","Germany",2548,29269,2749,"Leipzig-Halle (EDDP) "
2014,"SEP","EDDP","Leipzig-Halle","Germany",2652,30293,2133,"Leipzig-Halle (EDDP) "
2014,"OCT","EDDP","Leipzig-Halle","Germany",2775,31394,2056,"Leipzig-Halle (EDDP) "
2014,"NOV","EDDP","Leipzig-Halle","Germany",2436,27643,3247,"Leipzig-Halle (EDDP) "
2014,"DEC","EDDP","Leipzig-Halle","Germany",2318,26088,9074,"Leipzig-Halle (EDDP) "
2014,"JAN","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"FEB","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"MAR","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"APR","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"MAY","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"JUN","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"JUL","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"AUG","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"SEP","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"OCT","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"NOV","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"DEC","EDDS","Stuttgart","Germany",NA,NA,NA,"Stuttgart (EDDS) "
2014,"JAN","EDDT","Berlin/ Tegel","Germany",6334,54605,4268,"Berlin/ Tegel (EDDT) "
2014,"FEB","EDDT","Berlin/ Tegel","Germany",6389,55845,4782,"Berlin/ Tegel (EDDT) "
2014,"MAR","EDDT","Berlin/ Tegel","Germany",7354,63535,6423,"Berlin/ Tegel (EDDT) "
2014,"APR","EDDT","Berlin/ Tegel","Germany",7338,63657,4686,"Berlin/ Tegel (EDDT) "
2014,"MAY","EDDT","Berlin/ Tegel","Germany",8148,70560,8048,"Berlin/ Tegel (EDDT) "
2014,"JUN","EDDT","Berlin/ Tegel","Germany",8056,70025,4637,"Berlin/ Tegel (EDDT) "
2014,"JUL","EDDT","Berlin/ Tegel","Germany",8004,71274,6325,"Berlin/ Tegel (EDDT) "
2014,"AUG","EDDT","Berlin/ Tegel","Germany",7731,67865,3104,"Berlin/ Tegel (EDDT) "
2014,"SEP","EDDT","Berlin/ Tegel","Germany",8138,70228,6657,"Berlin/ Tegel (EDDT) "
2014,"OCT","EDDT","Berlin/ Tegel","Germany",8148,70689,8112,"Berlin/ Tegel (EDDT) "
2014,"NOV","EDDT","Berlin/ Tegel","Germany",7235,62099,5712,"Berlin/ Tegel (EDDT) "
2014,"DEC","EDDT","Berlin/ Tegel","Germany",6519,57299,3930,"Berlin/ Tegel (EDDT) "
2014,"JAN","EDDV","Hanover","Germany",1842,15408,4419,"Hanover (EDDV) "
2014,"FEB","EDDV","Hanover","Germany",1869,14177,1508,"Hanover (EDDV) "
2014,"MAR","EDDV","Hanover","Germany",2285,17511,2358,"Hanover (EDDV) "
2014,"APR","EDDV","Hanover","Germany",2371,20456,1164,"Hanover (EDDV) "
2014,"MAY","EDDV","Hanover","Germany",2618,20420,2012,"Hanover (EDDV) "
2014,"JUN","EDDV","Hanover","Germany",2714,21392,1751,"Hanover (EDDV) "
2014,"JUL","EDDV","Hanover","Germany",2786,23071,1457,"Hanover (EDDV) "
2014,"AUG","EDDV","Hanover","Germany",2772,22336,1506,"Hanover (EDDV) "
2014,"SEP","EDDV","Hanover","Germany",2947,25083,1387,"Hanover (EDDV) "
2014,"OCT","EDDV","Hanover","Germany",2845,22832,1769,"Hanover (EDDV) "
2014,"NOV","EDDV","Hanover","Germany",2317,18619,1467,"Hanover (EDDV) "
2014,"DEC","EDDV","Hanover","Germany",1902,14737,2972,"Hanover (EDDV) "
2014,"JAN","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"FEB","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"MAR","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"APR","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"MAY","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"JUN","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"JUL","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"AUG","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"SEP","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"OCT","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"NOV","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"DEC","EETN","Tallinn","Estonia",NA,NA,NA,"Tallinn (EETN) "
2014,"JAN","EFHK","Helsinki/ Vantaa","Finland",6172,45882,20688,"Helsinki/ Vantaa (EFHK) "
2014,"FEB","EFHK","Helsinki/ Vantaa","Finland",6064,45095,17821,"Helsinki/ Vantaa (EFHK) "
2014,"MAR","EFHK","Helsinki/ Vantaa","Finland",6788,50429,14127,"Helsinki/ Vantaa (EFHK) "
2014,"APR","EFHK","Helsinki/ Vantaa","Finland",6512,48390,8828,"Helsinki/ Vantaa (EFHK) "
2014,"MAY","EFHK","Helsinki/ Vantaa","Finland",6924,51703,9748,"Helsinki/ Vantaa (EFHK) "
2014,"JUN","EFHK","Helsinki/ Vantaa","Finland",6566,48913,8338,"Helsinki/ Vantaa (EFHK) "
2014,"JUL","EFHK","Helsinki/ Vantaa","Finland",6152,45954,8174,"Helsinki/ Vantaa (EFHK) "
2014,"AUG","EFHK","Helsinki/ Vantaa","Finland",6716,49672,11703,"Helsinki/ Vantaa (EFHK) "
2014,"SEP","EFHK","Helsinki/ Vantaa","Finland",7090,51774,11781,"Helsinki/ Vantaa (EFHK) "
2014,"OCT","EFHK","Helsinki/ Vantaa","Finland",7056,52188,9139,"Helsinki/ Vantaa (EFHK) "
2014,"NOV","EFHK","Helsinki/ Vantaa","Finland",6392,47008,14595,"Helsinki/ Vantaa (EFHK) "
2014,"DEC","EFHK","Helsinki/ Vantaa","Finland",5972,44078,25358,"Helsinki/ Vantaa (EFHK) "
2014,"JAN","EGBB","Birmingham","United Kingdom",3076,27545,4360,"Birmingham (EGBB) "
2014,"FEB","EGBB","Birmingham","United Kingdom",2882,26172,4515,"Birmingham (EGBB) "
2014,"MAR","EGBB","Birmingham","United Kingdom",3331,29668,4992,"Birmingham (EGBB) "
2014,"APR","EGBB","Birmingham","United Kingdom",3737,32830,5068,"Birmingham (EGBB) "
2014,"MAY","EGBB","Birmingham","United Kingdom",4289,37694,6508,"Birmingham (EGBB) "
2014,"JUN","EGBB","Birmingham","United Kingdom",4407,38884,6974,"Birmingham (EGBB) "
2014,"JUL","EGBB","Birmingham","United Kingdom",4660,40744,7651,"Birmingham (EGBB) "
2014,"AUG","EGBB","Birmingham","United Kingdom",4573,39553,8581,"Birmingham (EGBB) "
2014,"SEP","EGBB","Birmingham","United Kingdom",4449,37504,8047,"Birmingham (EGBB) "
2014,"OCT","EGBB","Birmingham","United Kingdom",4179,37567,6998,"Birmingham (EGBB) "
2014,"NOV","EGBB","Birmingham","United Kingdom",3288,29344,5057,"Birmingham (EGBB) "
2014,"DEC","EGBB","Birmingham","United Kingdom",3164,26251,5747,"Birmingham (EGBB) "
2014,"JAN","EGCC","Manchester","United Kingdom",5244,56005,16181,"Manchester (EGCC) "
2014,"FEB","EGCC","Manchester","United Kingdom",5159,54674,18562,"Manchester (EGCC) "
2014,"MAR","EGCC","Manchester","United Kingdom",5725,61414,19616,"Manchester (EGCC) "
2014,"APR","EGCC","Manchester","United Kingdom",6353,67987,22676,"Manchester (EGCC) "
2014,"MAY","EGCC","Manchester","United Kingdom",7437,80325,30593,"Manchester (EGCC) "
