"YEAR","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2014,"EFHK","Helsinki/ Vantaa","Finland",83982,16277,0,90,0,0,0,0,0,0,0,0,0,0,128,0,16059,0,0.193815341382677,0,0.0010716582124741,0,0,0,0,0,0,0,0,0,0,0.00152413612440761,0,0.191219547045796,0
2014,"EGAA","Belfast/Aldergrove","United Kingdom",19107,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0.000732715758622494,0,0,0,0,0,0,0,0,0.000732715758622494,0,0,0,0,0,0,0
2014,"EGAC","Belfast/City Airport","United Kingdom",18559,262,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141171399321084,0.0141171399321084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EGAE","Londonderry/Eglinton","United Kingdom",1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EGBB","Birmingham","United Kingdom",47909,1356,0,0,0,0,0,0,0,0,0,0,0,1356,0,0,0,0,0.0283036590202258,0,0,0,0,0,0,0,0,0,0,0,0.0283036590202258,0,0,0,0
2014,"EGCC","Manchester","United Kingdom",85207,6369,0,0,0,224,0,0,0,0,939,0,0,1570,0,0,3636,0,0.0747473799101013,0,0,0,0.00262889199244194,0,0,0,0,0.0110202213433169,0,0,0.0184257161970261,0,0,0.0426725503773164,0
2014,"EGGW","London/ Luton","United Kingdom",51758,2779,920,0,0,0,514,0,0,0,0,0,0,1006,0,0,339,0,0.0536921828509602,0.0177750299470613,0,0,0,0.00993083194868426,0,0,0,0,0,0,0.0194366088334171,0,0,0.0065497121217976,0
2014,"EGHI","Southampton","United Kingdom",19706,2831,0,0,0,0,0,0,0,0,0,0,0,48,0,0,2783,0,0.143661828884604,0,0,0,0,0,0,0,0,0,0,0,0.0024358063533949,0,0,0.141226022531209,0
2014,"EGKB","Biggin Hill","United Kingdom",6087,1010,0,0,0,0,145,0,0,0,0,0,0,796,0,0,69,0,0.165927386232955,0,0,0,0,0.0238212584195827,0,0,0,0,0,0,0.130770494496468,0,0,0.0113356333169049,0
2014,"EGKK","London/ Gatwick","United Kingdom",129954,89402,1943,943,0,707,1289,0,0,0,6559,0,0,5192,0,0,72769,0,0.687951121165951,0.0149514443572341,0.00725641380796282,0,0.0054403865983348,0.00991889437801068,0,0,0,0.0504717053726703,0,0,0.0399525986118165,0,0,0.559959678039922,0
2014,"EGLC","London/ City","United Kingdom",37885,50994,210,675,0,167,1137,0,0,0,76,0,0,6337,987,0,41405,0,1.34602085258018,0.00554309093308697,0.0178170779992081,0,0.00440807707535964,0.0300118780519995,0,0,0,0.00200607100435529,0,0,0.167269367823677,0.0260525273855088,0,1.09291276230698,0
2014,"EGLF","Farnborough","United Kingdom",11755,4120,0,1470,0,0,479,0,415,0,0,1013,0,0,0,0,743,0,0.35048915355168,0,0.125053168864313,0,0,0.0407486176095279,0,0.0353041259038707,0,0,0.0861760952786049,0,0,0,0,0.0632071458953637,0
2014,"EGLL","London/ Heathrow","United Kingdom",236426,447434,3911,12607,0,1566,313,0,0,0,26402,0,0,0,2189,0,400446,0,1.89249067361458,0.0165421738725859,0.0533232385609028,0,0.00662363699423921,0.00132388146819724,0,0,0,0.111671305186401,0,0,0,0.00925871097087461,0,1.69374772656138,0
2014,"EGNX","East Midlands","United Kingdom",33342,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440885369803851,0.00440885369803851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EGPD","Aberdeen","United Kingdom",36434,9820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9820,0,0.269528462425207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269528462425207,0
2014,"EGPF","Glasgow","United Kingdom",39795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EGPH","Edinburgh","United Kingdom",53867,341,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0.0063304063712477,0,0,0,0,0,0,0,0,0.0063304063712477,0,0,0,0,0,0,0
2014,"EGSS","London/ Stansted","United Kingdom",77934,5963,101,0,0,0,0,0,0,0,71,0,0,4024,0,0,1767,0,0.0765134601072703,0.00129596838350399,0,0,0,0,0,0,0,0.000911027279492904,0,0,0.0516334334180204,0,0,0.022673031026253,0
2014,"EHAM","Amsterdam/ Schiphol","Netherlands",224405,425135,0,153983,0,0,22593,0,0,0,0,1267,0,0,0,0,247292,0,1.89449878567768,0,0.686183462935318,0,0,0.100679574875783,0,0,0,0,0.00564604175486286,0,0,0,0,1.10198970611172,0
2014,"EHBK","Maastricht-Aachen","Netherlands",4454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EHGG","Groningen","Netherlands",6778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EHRD","Rotterdam","Netherlands",12697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EICK","Cork","Ireland",11656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EICM","Galway Carnmore","Ireland",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EIDL","Donegal","Ireland",1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EIDW","Dublin","Ireland",89624,4335,536,0,0,0,0,0,0,0,0,0,0,0,0,0,3799,0,0.0483687405159332,0.00598054092653753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423881995893957,0
2014,"EIKN","Connaught","Ireland",3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EIKY","Kerry/Farranfore","Ireland",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EINN","Shannon","Ireland",11640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EISG","Sligo","Ireland",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EIWF","Waterford","Ireland",560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EIWT","Weston","Ireland",484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
