"YEAR","MONTH","ICAO","NAME","STATE","ASMA_RADIUS","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD","LABEL"
2014,"JUL","EDDL","Dusseldorf","Germany",40,9513,121034,18117,"Dusseldorf (EDDL)"
2014,"AUG","EDDL","Dusseldorf","Germany",40,9461,114288,19098,"Dusseldorf (EDDL)"
2014,"SEP","EDDL","Dusseldorf","Germany",40,9679,123571,20530,"Dusseldorf (EDDL)"
2014,"OCT","EDDL","Dusseldorf","Germany",40,9564,115246,23469,"Dusseldorf (EDDL)"
2014,"NOV","EDDL","Dusseldorf","Germany",40,7963,99525,14991,"Dusseldorf (EDDL)"
2014,"DEC","EDDL","Dusseldorf","Germany",40,7166,87744,16126,"Dusseldorf (EDDL)"
2014,"JAN","EDDM","Munich","Germany",40,13345,175040,25895,"Munich (EDDM)"
2014,"FEB","EDDM","Munich","Germany",40,13777,180855,32873,"Munich (EDDM)"
2014,"MAR","EDDM","Munich","Germany",40,15566,204168,32660,"Munich (EDDM)"
2014,"APR","EDDM","Munich","Germany",40,14484,189477,18315,"Munich (EDDM)"
2014,"MAY","EDDM","Munich","Germany",40,16143,212074,28080,"Munich (EDDM)"
2014,"JUN","EDDM","Munich","Germany",40,16128,210956,20588,"Munich (EDDM)"
2014,"JUL","EDDM","Munich","Germany",40,16582,217423,23794,"Munich (EDDM)"
2014,"AUG","EDDM","Munich","Germany",40,15473,203024,18097,"Munich (EDDM)"
2014,"SEP","EDDM","Munich","Germany",40,16635,218272,30681,"Munich (EDDM)"
2014,"OCT","EDDM","Munich","Germany",40,16501,215952,30961,"Munich (EDDM)"
2014,"NOV","EDDM","Munich","Germany",40,15002,195405,26059,"Munich (EDDM)"
2014,"DEC","EDDM","Munich","Germany",40,13280,175110,32427,"Munich (EDDM)"
2014,"JAN","EDDS","Stuttgart","Germany",40,3284,39529,3459,"Stuttgart (EDDS)"
2014,"FEB","EDDS","Stuttgart","Germany",40,3145,37404,3429,"Stuttgart (EDDS)"
2014,"MAR","EDDS","Stuttgart","Germany",40,3786,47338,3462,"Stuttgart (EDDS)"
2014,"APR","EDDS","Stuttgart","Germany",40,3802,46982,1268,"Stuttgart (EDDS)"
2014,"MAY","EDDS","Stuttgart","Germany",40,4715,58719,3850,"Stuttgart (EDDS)"
2014,"JUN","EDDS","Stuttgart","Germany",40,4897,61799,3499,"Stuttgart (EDDS)"
2014,"JUL","EDDS","Stuttgart","Germany",40,4949,61922,3506,"Stuttgart (EDDS)"
2014,"AUG","EDDS","Stuttgart","Germany",40,4667,56884,4117,"Stuttgart (EDDS)"
2014,"SEP","EDDS","Stuttgart","Germany",40,4984,62589,3568,"Stuttgart (EDDS)"
2014,"OCT","EDDS","Stuttgart","Germany",40,4530,55628,2025,"Stuttgart (EDDS)"
2014,"NOV","EDDS","Stuttgart","Germany",40,3554,43978,1150,"Stuttgart (EDDS)"
2014,"DEC","EDDS","Stuttgart","Germany",40,3381,41230,2574,"Stuttgart (EDDS)"
2014,"JAN","EDDT","Berlin/ Tegel","Germany",40,6165,75204,9807,"Berlin/ Tegel (EDDT)"
2014,"FEB","EDDT","Berlin/ Tegel","Germany",40,6208,79416,7447,"Berlin/ Tegel (EDDT)"
2014,"MAR","EDDT","Berlin/ Tegel","Germany",40,7136,89417,11731,"Berlin/ Tegel (EDDT)"
2014,"APR","EDDT","Berlin/ Tegel","Germany",40,7230,89468,13690,"Berlin/ Tegel (EDDT)"
2014,"MAY","EDDT","Berlin/ Tegel","Germany",40,8026,100256,14350,"Berlin/ Tegel (EDDT)"
2014,"JUN","EDDT","Berlin/ Tegel","Germany",40,7928,100875,10150,"Berlin/ Tegel (EDDT)"
2014,"JUL","EDDT","Berlin/ Tegel","Germany",40,7913,98104,12546,"Berlin/ Tegel (EDDT)"
2014,"AUG","EDDT","Berlin/ Tegel","Germany",40,7683,99425,7664,"Berlin/ Tegel (EDDT)"
2014,"SEP","EDDT","Berlin/ Tegel","Germany",40,7867,97827,13540,"Berlin/ Tegel (EDDT)"
2014,"OCT","EDDT","Berlin/ Tegel","Germany",40,8037,101133,11899,"Berlin/ Tegel (EDDT)"
2014,"NOV","EDDT","Berlin/ Tegel","Germany",40,7117,87373,10490,"Berlin/ Tegel (EDDT)"
2014,"DEC","EDDT","Berlin/ Tegel","Germany",40,6466,83165,12748,"Berlin/ Tegel (EDDT)"
2014,"JAN","EFHK","Helsinki/ Vantaa","Finland",40,6141,73656,6344,"Helsinki/ Vantaa (EFHK)"
2014,"FEB","EFHK","Helsinki/ Vantaa","Finland",40,5933,71797,8441,"Helsinki/ Vantaa (EFHK)"
2014,"MAR","EFHK","Helsinki/ Vantaa","Finland",40,6704,81495,7085,"Helsinki/ Vantaa (EFHK)"
2014,"APR","EFHK","Helsinki/ Vantaa","Finland",40,6481,79873,5617,"Helsinki/ Vantaa (EFHK)"
2014,"MAY","EFHK","Helsinki/ Vantaa","Finland",40,6921,85939,6842,"Helsinki/ Vantaa (EFHK)"
2014,"JUN","EFHK","Helsinki/ Vantaa","Finland",40,6667,81991,4667,"Helsinki/ Vantaa (EFHK)"
2014,"JUL","EFHK","Helsinki/ Vantaa","Finland",40,6263,76466,2317,"Helsinki/ Vantaa (EFHK)"
2014,"AUG","EFHK","Helsinki/ Vantaa","Finland",40,6791,83304,5281,"Helsinki/ Vantaa (EFHK)"
2014,"SEP","EFHK","Helsinki/ Vantaa","Finland",40,6995,85476,5770,"Helsinki/ Vantaa (EFHK)"
2014,"OCT","EFHK","Helsinki/ Vantaa","Finland",40,6952,84149,6733,"Helsinki/ Vantaa (EFHK)"
2014,"NOV","EFHK","Helsinki/ Vantaa","Finland",40,6188,74482,7231,"Helsinki/ Vantaa (EFHK)"
2014,"DEC","EFHK","Helsinki/ Vantaa","Finland",40,5760,70013,7411,"Helsinki/ Vantaa (EFHK)"
2014,"JAN","EGBB","Birmingham","United Kingdom",40,2873,40572,2750,"Birmingham (EGBB)"
2014,"FEB","EGBB","Birmingham","United Kingdom",40,1185,17139,1155,"Birmingham (EGBB)"
2014,"MAR","EGBB","Birmingham","United Kingdom",40,3097,43116,2117,"Birmingham (EGBB)"
2014,"APR","EGBB","Birmingham","United Kingdom",40,3515,49215,1890,"Birmingham (EGBB)"
2014,"MAY","EGBB","Birmingham","United Kingdom",40,4204,57221,1830,"Birmingham (EGBB)"
2014,"JUN","EGBB","Birmingham","United Kingdom",40,4257,54880,2669,"Birmingham (EGBB)"
2014,"JUL","EGBB","Birmingham","United Kingdom",40,4577,59003,303,"Birmingham (EGBB)"
2014,"AUG","EGBB","Birmingham","United Kingdom",40,4554,58343,4696,"Birmingham (EGBB)"
2014,"SEP","EGBB","Birmingham","United Kingdom",40,4415,56646,2702,"Birmingham (EGBB)"
2014,"OCT","EGBB","Birmingham","United Kingdom",40,4271,58154,2968,"Birmingham (EGBB)"
2014,"NOV","EGBB","Birmingham","United Kingdom",40,3376,45554,2173,"Birmingham (EGBB)"
2014,"DEC","EGBB","Birmingham","United Kingdom",40,3152,41916,908,"Birmingham (EGBB)"
2014,"JAN","EGCC","Manchester","United Kingdom",40,5349,72302,7374,"Manchester (EGCC)"
2014,"FEB","EGCC","Manchester","United Kingdom",40,5156,69746,9355,"Manchester (EGCC)"
2014,"MAR","EGCC","Manchester","United Kingdom",40,5891,79816,9019,"Manchester (EGCC)"
2014,"APR","EGCC","Manchester","United Kingdom",40,6613,89344,13100,"Manchester (EGCC)"
2014,"MAY","EGCC","Manchester","United Kingdom",40,7741,104377,13664,"Manchester (EGCC)"
2014,"JUN","EGCC","Manchester","United Kingdom",40,7965,107519,11927,"Manchester (EGCC)"
2014,"JUL","EGCC","Manchester","United Kingdom",40,8387,113210,11213,"Manchester (EGCC)"
2014,"AUG","EGCC","Manchester","United Kingdom",40,8479,114293,12892,"Manchester (EGCC)"
2014,"SEP","EGCC","Manchester","United Kingdom",40,8122,109730,8951,"Manchester (EGCC)"
2014,"OCT","EGCC","Manchester","United Kingdom",40,7585,102915,14811,"Manchester (EGCC)"
2014,"NOV","EGCC","Manchester","United Kingdom",40,5772,78523,6732,"Manchester (EGCC)"
2014,"DEC","EGCC","Manchester","United Kingdom",40,5681,77224,9692,"Manchester (EGCC)"
2014,"JAN","EGKK","London/ Gatwick","United Kingdom",40,8482,120788,20050,"London/ Gatwick (EGKK)"
2014,"FEB","EGKK","London/ Gatwick","United Kingdom",40,8182,116304,24511,"London/ Gatwick (EGKK)"
2014,"MAR","EGKK","London/ Gatwick","United Kingdom",40,9326,131918,21145,"London/ Gatwick (EGKK)"
