"YEAR","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG","FLIGHTS_DELAYED_AVG","FLIGHTS_DELAYED_15_AVG","TARGET"
2011,"DSNA","ANSP (AUA)",2881067,1282364,14,965527,0,25,3080,66939,10751,72,42213,2270,8275,38015,7345,0,137838,0,72284,36850,0.44510037427106,4.85931080394868e-06,0.335128270186011,0,8.67734072133692e-06,0.00106904837686871,0.0232341004218229,0.00373160360380373,2.49907412774503e-05,0.0146518633547918,0.000787902537497392,0.00287219977876252,0.0131947643008649,0.00254940270392879,0,0.0478426916139055,0,0.0250893158680447,0.0127904002232506,NA
2011,"EANS","ANSP (AUA)",177818,3981,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,120,0.0223880597014925,0,0.0223880597014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156902000922291,0.000674847315794801,NA
2011,"ENAIRE","ANSP (AUA)",1772195,2770832,0,2255845,0,0,10640,0,7225,0,16302,31,107,218794,14272,0,247616,0,150612,76113,1.56350288766191,0,1.27291014814961,0,0,0.00600385397769433,0,0.00407686513053022,0,0.00919876198725309,1.7492431701929e-05,6.03771029711742e-05,0.123459325864253,0.00805328984677194,0,0.139722773171124,0,0.0849861330158363,0.0429484340041587,NA
2011,"ENAV","ANSP (AUA)",1594589,21290,0,12683,0,0,0,1086,0,0,0,0,0,0,2749,0,4772,0,1118,637,0.0133514027752606,0,0.00795377366832456,0,0,0,0.000681053236915594,0,0,0,0,0,0,0.00172395520099537,0,0.00299262066902506,0,0.000701121103933365,0.000399475977822498,NA
2011,"EUROCONTROL Area (MS)","AREA (AUA)",9868661,11238639,14,6095041,0,25,19478,90372,43197,519,133635,260395,60012,2839718,425934,0,1270299,0,560250,296907,1.13882106194549,1.41863217309826e-06,0.617615804210926,0,2.53327173767546e-06,0.0019737226762577,0.00915747333908825,0.00437718957009467,5.25907212741425e-05,0.0135413507465704,0.02638605176528,0.00608106814085518,0.287751094094731,0.0431602625726023,0,0.128720502203896,0,0.056770619641307,0.0300858444727203,NA
2011,"HCAA","ANSP (AUA)",655638,1935028,0,333845,0,0,0,22325,0,0,0,0,246,1367016,203490,0,8106,0,49385,37090,2.95136645526952,0,0.509191047498772,0,0,0,0.0340508024245086,0,0,0,0,0.000375207050231988,2.08501642674769,0.310369441673606,0,0.0123635298747175,0,0.0753235779500273,0.0565708515979855,NA
2011,"HungaroControl (EC)","ANSP (AUA)",616579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"IAA","ANSP (AUA)",521065,1314,0,0,0,0,0,0,0,0,0,1314,0,0,0,0,0,0,43,27,0.00252175832189842,0,0,0,0,0,0,0,0,0,0.00252175832189842,0,0,0,0,0,0,8.25232936389894e-05,5.18169518198305e-05,NA
2011,"LFV","ANSP (AUA)",709463,80090,0,36066,0,0,0,0,686,0,0,0,0,22109,6921,0,14308,0,5363,2122,0.112888198538895,0,0.0508356320202745,0,0,0,0,0.000966928507899637,0,0,0,0,0.0311630063865205,0.00975526560229357,0,0.0201673660219067,0,0.00755923846627661,0.0029909945973222,NA
2011,"LGS","ANSP (AUA)",233276,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.000325794338037346,0,0.000325794338037346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00073732402819e-05,8.57353521150911e-06,NA
2011,"LPS","ANSP (AUA)",381213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"LVNL","ANSP (AUA)",563187,65208,0,52943,0,0,3816,0,0,0,0,0,0,0,159,0,8290,0,4434,2006,0.115783922569235,0,0.0940060761345699,0,0,0.00677572458171087,0,0,0,0,0,0,0,0.000282321857571286,0,0.0147197999953834,0,0.00787305104698795,0.00356187198923271,NA
2011,"M-NAV","ANSP (AUA)",124467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"MATS","ANSP (AUA)",81382,71,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,1,1,0.000872428792607702,0,0,0,0,0,0,0,0,0,0,0,0,0.000872428792607702,0,0,0,1.22877294733479e-05,1.22877294733479e-05,NA
2011,"MoldATSA","ANSP (AUA)",60415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"MUAC","ANSP (AUA)",1607817,62886,0,19913,0,0,0,0,202,0,0,0,0,2478,18204,0,22089,0,3665,1728,0.0391126602094641,0,0.0123851159677998,0,0,0,0,0.000125636188695604,0,0,0,0,0.00154122017617677,0.0113221840545286,0,0.0137385038222634,0,0.00227948827509598,0.00107474917854457,NA
2011,"NATS (Continental)","ANSP (AUA)",2193730,414479,0,171677,0,0,0,0,3131,0,34885,190,17434,104139,28789,0,54234,0,22584,11811,0.188938018808149,0,0.0782580354008925,0,0,0,0,0.00142724947919753,0,0.0159021392787627,8.66104762208658e-05,0.00794719496018197,0.0474712020166566,0.0131233105259079,0,0.0247222766703286,0,0.0102947947103791,0.00538398070865603,NA
2011,"NAV Portugal (Continental)","ANSP (AUA)",446853,72485,0,40925,0,0,0,0,0,0,2790,0,0,0,28770,0,0,0,4387,2064,0.162212181634676,0,0.0915849283768935,0,0,0,0,0,0,0.00624366402373935,0,0,0,0.0643835892340434,0,0,0,0.0098175462624174,0.00461896865412115,NA
2011,"NAVIAIR","ANSP (AUA)",635932,3432,0,1705,0,0,0,0,1727,0,0,0,0,0,0,0,0,0,255,84,0.00539680343181346,0,0.00268110426900989,0,0,0,0,0.00271569916280357,0,0,0,0,0,0,0,0,0,0.000400986268972154,0.000132089594484945,NA
2011,"ONDA","ANSP (AUA)",352105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"Oro Navigacija","ANSP (AUA)",199358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"PANSA","ANSP (AUA)",642410,422382,0,341543,0,0,0,0,5532,0,936,0,0,48466,8202,0,17703,0,25094,11906,0.657495991656419,0,0.531658909419218,0,0,0,0,0.00861132298687754,0,0.00145701343378839,0,0,0.0754440310705001,0.012767547205056,0,0.0275571675409785,0,0.0390622810977413,0.018533335408851,NA
2011,"ROMATSA","ANSP (AUA)",487327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,"SES Area","AREA (AUA)",9301162,10638480,14,5678089,0,25,18724,90372,39964,519,114246,248467,59230,2815863,365691,0,1207276,0,528804,280339,1.14377966967998,1.50518827647556e-06,0.610470928256061,0,2.68783620799208e-06,0.00201308180633775,0.0097162053515464,0.00429666744864781,5.57994796779155e-05,0.0122829814167305,0.0267135439636467,0.00636802154397483,0.302743141125808,0.0393167004294732,0,0.129798405833594,0,0.0568535415252417,0.0301402125884916,NA
2011,"Skyguide","ANSP (AUA)",1201673,248667,0,150746,0,0,46,0,1512,447,0,26083,0,23783,54,0,45996,0,14569,6946,0.206933999515675,0,0.125446772957369,0,0,3.82799646825717e-05,0,0.00125824579565323,0.000371981395937164,0,0.0217055721481634,0,0.0197915739140349,4.49373498447581e-05,0,0.0382766359899906,0,0.0121239305534867,0.00578027466706833,NA
2011,"Slovenia Control","ANSP (AUA)",272914,568,0,0,0,0,0,0,0,0,230,0,0,0,338,0,0,0,9,6,0.00208124170984266,0,0,0,0,0,0,0,0,0.000842756326168683,0,0,0,0.00123848538367398,0,0,0,3.29774214587746e-05,2.1984947639183e-05,NA
2011,"SMATSA","ANSP (AUA)",555109,27722,0,15184,0,0,0,0,1743,0,2156,8171,0,468,0,0,0,0,1910,791,0.0499397415642694,0,0.0273531864913017,0,0,0,0,0.00313992387080735,0,0.00388392189642034,0.0147196316399122,0,0.000843077665827792,0,0,0,0,0.00344076568745958,0.00142494537108928,NA
2011,"UkSATSE","ANSP (AUA)",453074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"Albcontrol","ANSP (AUA)",195230,11805,0,1720,0,0,0,0,0,0,3302,6783,0,0,0,0,0,0,789,318,0.0604671413204938,0,0.00881012139527737,0,0,0,0,0,0,0.0169133842134918,0.0347436357117246,0,0,0,0,0,0,0.0040413870819034,0.00162884802540593,NA
2012,"All ANSP (AUA)","ANSP (AUA)",27444235,6023507,710,3054480,0,1893,10731,569277,74110,5659,133453,101474,769,1064831,137681,38,865989,2412,325337,161313,0.219481687137572,2.58706427779823e-05,0.111297691482382,0,6.89762348996064e-05,0.000391011081197927,0.0207430449418612,0.0027003849806708,0.000206199954198031,0.00486269702908461,0.00369746141584927,2.80204567553076e-05,0.0387998062252418,0.00501675488495125,1.38462595149765e-06,0.0315544958713551,8.78873103950611e-05,0.0118544750837471,0.00587784647668263,NA
2012,"All AREA (AUA)","AREA (AUA)",18684670,11739522,1420,5946047,0,2864,21462,1138554,147046,11318,190228,189089,1538,2118365,270893,76,1695970,4652,631252,313919,0.628296994273915,7.5998131088213e-05,0.318231309410335,0,0.000153280737631438,0.00114864217564453,0.0609351944669079,0.00786987407323758,0.000605737216659433,0.010180966535668,0.0101200074713656,8.23134687420222e-05,0.113374493635692,0.0144981420597741,4.06750560753816e-06,0.0907679932265328,0.000248974159029836,0.0337844874969694,0.016800885431747,NA
2012,"ANA LUX","ANSP (AUA)",61730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"ANS CR","ANSP (AUA)",662571,2286,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2253,0,85,63,0.00345019628085141,0,4.98059830569101e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0034003902977945,0,0.00012828813817689,9.5084149472283e-05,NA
2012,"ANS Finland","ANSP (AUA)",239486,2930,0,0,0,0,0,0,0,0,0,0,0,723,2207,0,0,0,96,71,0.0122345356304753,0,0,0,0,0,0,0,0,0,0,0,0.00301896561803195,0.00921557001244332,0,0,0,0.000400858505298848,0.00029646826954394,NA
2012,"ARMATS","ANSP (AUA)",56002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"Austro Control","ANSP (AUA)",888751,117978,0,37145,0,0,0,0,0,0,0,0,0,17846,35,0,62952,0,6516,3502,0.132745842198771,0,0.0417946083886263,0,0,0,0,0,0,0,0,0,0.0200798648890409,3.93811089945328e-05,0,0.0708319878121094,0,0.0073316373202393,0.00394036124853868,NA
2012,"Avinor","ANSP (AUA)",590204,163624,0,4263,0,0,0,0,2723,0,949,0,0,149285,6404,0,0,0,7278,4718,0.277232956740381,0,0.00722292631022494,0,0,0,0,0.00461365900603859,0,0.00160791861796938,0,0,0.252937967211337,0.0108504855948113,0,0,0,0.012331329506408,0.00799384619555272,NA
2012,"Belgocontrol","ANSP (AUA)",557312,14991,0,1772,0,0,0,0,0,0,0,0,0,8,0,0,13211,0,576,376,0.0268987568902159,0,0.00317954754248966,0,0,0,0,0,0,0,0,0,1.43546164446486e-05,0,0,0.0237048547312816,0,0.0010335323840147,0.000674666972898484,NA
