"YEAR","ICAO","NAME","STATE","FLIGHTS_NM","FLIGHTS_APT","DELAY_APT","FLIGHTS_AL","DELAY_AL"
2014,"GCTS","Tenerife Sur/Reina Sofia","Spain",29303,29368,3894,21434,3723
2014,"GCXO","Tenerife North","Spain",24591,23903,2061,19845,2121
2014,"GEML","Melilla","Spain",4264,0,0,3370,0
2014,"LATI","Tirana","Albania",9029,0,0,5089,676
2014,"LBSF","Sofia","Bulgaria",20586,0,0,10768,2161
2014,"LCLK","Larnaca","Cyprus",21755,0,0,11128,3728
2014,"LCPH","Paphos","Cyprus",6823,0,0,4881,1186
2014,"LDZA","Zagreb","Croatia",18037,0,0,5069,693
2014,"LDZL","Lucko","Croatia",209,0,0,0,0
2014,"LEAB","Albacete","Spain",461,0,0,0,0
2014,"LEAL","Alicante","Spain",35610,35638,7526,28541,9161
2014,"LEAM","Almeria","Spain",4315,0,0,3624,1067
2014,"LEAS","Asturias","Spain",5527,0,0,4981,521
2014,"LEBA","Cordoba","Spain",112,0,0,0,0
2014,"LEBB","Bilbao","Spain",19591,19572,2497,17876,3390
2014,"LEBG","Burgos","Spain",487,0,0,216,0
2014,"LEBL","Barcelona","Spain",141892,141635,45414,116010,50825
2014,"LEBZ","Badajoz","Spain",865,0,0,644,10
2014,"LECO","La Coruna","Spain",5410,0,0,4626,682
2014,"LECU","Madrid/Cuatro Viento","Spain",1047,0,0,0,0
2014,"LEDA","Lleida/Alguaire","Spain",267,0,0,211,9
2014,"LEGE","Gerona","Spain",8665,0,0,7048,165
2014,"LEGR","Granada","Spain",3954,0,0,3213,211
2014,"LEGT","Madrid/Getafe","Spain",1527,0,0,0,0
2014,"LEIB","Ibiza","Spain",28709,28393,1041,19826,3118
2014,"LEIZ","Abad","Spain",142,0,0,0,0
2014,"LEJR","Jerez De La Frontera","Spain",6052,0,0,2629,262
2014,"LELC","Murcia San Javier","Spain",4229,0,0,2955,437
2014,"LELL","Sabadell","Spain",1071,0,0,0,0
2014,"LELN","Leon","Spain",432,0,0,273,0
2014,"LEMD","Madrid/ Barajas","Spain",171310,170297,115319,133395,107840
2014,"LEMG","Málaga","Spain",52827,52605,15556,41187,16515
2014,"LEMH","Mahon","Spain",12166,0,0,9076,517
2014,"LEMO","Seville/Moron","Spain",2536,0,0,2,0
2014,"LEPA","Palma de Mallorca","Spain",86220,85846,31268,68745,30929
2014,"LEPP","Noain Pamplona","Spain",1708,0,0,1307,21
2014,"LERE","Valencia/Requena","Spain",282,0,0,0,0
2014,"LERJ","Logrono","Spain",339,0,0,282,0
2014,"LERS","Reus","Spain",4048,0,0,2341,312
2014,"LERT","Rota","Spain",2547,0,0,0,0
2014,"LESA","Salamanca Matalan","Spain",2184,0,0,206,28
2014,"LESB","Son Bonet","Spain",248,0,0,0,0
2014,"LESJ","Palma de Mallorca/Son San Juan","Spain",175,0,0,0,0
2014,"LESO","San Sebastian","Spain",2357,0,0,1958,147
2014,"LEST","Santiago","Spain",8955,0,0,6954,840
2014,"LETO","Madrid/Torrejon","Spain",858,0,0,0,0
2014,"LEVC","Valencia","Spain",24059,24010,693,19494,1898
2014,"LEVD","Valladolid","Spain",1644,0,0,920,60
2014,"LEVT","Vitoria","Spain",2883,0,0,2550,210
2014,"LEVX","Vigo","Spain",3887,0,0,2375,172
2014,"LEXJ","Santander","Spain",4125,0,0,3606,135
2014,"LEZG","Zaragoza","Spain",3588,0,0,1943,94
2014,"LEZL","Sevilla","Spain",17496,17380,702,13696,1839
2014,"LFAQ","Albert-Bray","France",629,0,0,0,0
