"YEAR","ICAO","NAME","STATE","ASMA_RADIUS","LABEL","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD"
2015,"LEVC","Valencia","Spain",40,"Valencia (LEVC)",24300,319903,9322
2015,"LEZL","Sevilla","Spain",40,"Sevilla (LEZL)",17214,208196,6228
2015,"LFLL","Lyon-Saint-Exupéry","France",40,"Lyon-Saint-Exupéry (LFLL)",51943,670288,44587
2015,"LFMN","Nice-Côte d’Azur","France",40,"Nice-Côte d'Azur (LFMN)",65777,914971,118557
2015,"LFPG","Paris-Charles-de-Gaulle","France",40,"Paris-Charles-de-Gaulle (LFPG)",232311,3373290,172557
2015,"LFPO","Paris-Orly","France",40,"Paris-Orly (LFPO)",115201,1592743,126810
2015,"LFSB","Bâle-Mulhouse","France",40,"Bâle-Mulhouse (LFSB)",35033,472108,23813
2015,"LGAV","Athens","Greece",40,"Athens (LGAV)",77235,1020415,63029
2015,"LHBP","Budapest/ Ferihegy","Hungary",40,"Budapest/ Ferihegy (LHBP)",44649,578077,26277
2015,"LICC","Catania","Italy",40,"Catania (LICC)",26884,332283,29377
2015,"LIMC","Milan/ Malpensa","Italy",40,"Milan/ Malpensa (LIMC)",50148,605640,25076
2015,"LIME","Bergamo","Italy",40,"Bergamo (LIME)",36791,514727,13591
2015,"LIML","Milan/ Linate","Italy",40,"Milan/ Linate (LIML)",7541,85105,5151
2015,"LIPE","Bologna","Italy",40,"Bologna (LIPE)",28794,372353,17772
2015,"LIPZ","Venice","Italy",40,"Venice (LIPZ)",39876,451627,41249
2015,"LIRF","Rome/Fiumicino","Italy",40,"Rome/Fiumicino (LIRF)",153769,1925000,255320
2015,"LIRN","Naples","Italy",40,"Naples (LIRN)",26112,352829,14978
2015,"LJLJ","Ljubljana","Slovenia",40,"Ljubljana (LJLJ)",12033,153457,1977
2015,"LKPR","Prague","Czech Republic",40,"Prague (LKPR)",59718,757228,65426
2015,"LMML","Malta","Malta",40,"Malta (LMML)",19624,234998,8941
2015,"LOWW","Vienna","Austria",40,"Vienna (LOWW)",116462,1428960,230349
2015,"LPPR","Porto","Portugal",40,"Porto (LPPR)",33629,420172,14474
2015,"LPPT","Lisbon","Portugal",40,"Lisbon (LPPT)",79604,1034267,117053
2015,"LROP","Bucharest/ Otopeni","Romania",40,"Bucharest/ Otopeni (LROP)",46362,555083,60879
2015,"LSGG","Geneva","Switzerland",40,"Geneva (LSGG)",88335,1158929,203129
2015,"LSZH","Zürich","Switzerland",40,"Zürich (LSZH)",120310,1593670,375287
2015,"LZIB","Bratislava","Slovakia",40,"Bratislava (LZIB)",8499,111457,5409
2016,"EBBR","Brussels","Belgium",40,"Brussels (EBBR)",104339,1304663,100896
2016,"EBCI","Charleroi","Belgium",40,"Charleroi (EBCI)",23133,286636,7938
2016,"EDDB","Berlin/ Schoenefeld","Germany",40,"Berlin/ Schoenefeld (EDDB)",45548,592372,41324
2016,"EDDE","Erfurt","Germany",40,"Erfurt (EDDE)",1329,16570,830
2016,"EDDF","Frankfurt","Germany",40,"Frankfurt (EDDF)",222699,3067240,384408
2016,"EDDH","Hamburg","Germany",40,"Hamburg (EDDH)",72361,926000,100642
2016,"EDDK","Cologne-Bonn","Germany",40,"Cologne-Bonn (EDDK)",62495,808170,57069
2016,"EDDL","Dusseldorf","Germany",40,"Dusseldorf (EDDL)",102431,1311569,185055
2016,"EDDM","Munich","Germany",40,"Munich (EDDM)",190581,2503955,380780
2016,"EDDN","Nuremberg","Germany",40,"Nuremberg (EDDN)",20784,267385,10548
2016,"EDDP","Leipzig-Halle","Germany",40,"Leipzig-Halle (EDDP)",27804,357666,53962
2016,"EDDR","Saarbruecken","Germany",40,"Saarbruecken (EDDR)",2854,35904,1078
2016,"EDDS","Stuttgart","Germany",40,"Stuttgart (EDDS)",52947,657680,13795
2016,"EDDT","Berlin/ Tegel","Germany",40,"Berlin/ Tegel (EDDT)",90166,1142116,173539
2016,"EDDV","Hanover","Germany",40,"Hanover (EDDV)",28451,358456,8027
2016,"EDDW","Bremen","Germany",40,"Bremen (EDDW)",13726,176938,6892
2016,"EETN","Tallinn","Estonia",40,"Tallinn (EETN)",14747,189856,4933
2016,"EFHK","Helsinki/ Vantaa","Finland",40,"Helsinki/ Vantaa (EFHK)",78268,958619,76521
2016,"EGBB","Birmingham","United Kingdom",40,"Birmingham (EGBB)",53719,686600,56844
2016,"EGCC","Manchester","United Kingdom",40,"Manchester (EGCC)",93125,1260006,181966
2016,"EGGD","Bristol","United Kingdom",40,"Bristol (EGGD)",31671,419941,13406
2016,"EGGW","London/ Luton","United Kingdom",40,"London/ Luton (EGGW)",62028,907313,69134
2016,"EGKK","London/ Gatwick","United Kingdom",40,"London/ Gatwick (EGKK)",135836,1910126,569927
2016,"EGLC","London/ City","United Kingdom",40,"London/ City (EGLC)",40539,542313,32893
2016,"EGLL","London/ Heathrow","United Kingdom",40,"London/ Heathrow (EGLL)",230539,3116014,1942417
2016,"EGNT","Newcastle","United Kingdom",40,"Newcastle (EGNT)",22055,289031,3342
2016,"EGPD","Aberdeen","United Kingdom",40,"Aberdeen (EGPD)",29344,382735,34605
2016,"EGPF","Glasgow","United Kingdom",40,"Glasgow (EGPF)",0,0,0
2016,"EGPH","Edinburgh","United Kingdom",40,"Edinburgh (EGPH)",59070,769877,68868
2016,"EGSS","London/ Stansted","United Kingdom",40,"London/ Stansted (EGSS)",87373,1232714,128792
2016,"EHAM","Amsterdam/ Schiphol","Netherlands",40,"Amsterdam/ Schiphol (EHAM)",240899,3190635,372353
2016,"EICK","Cork","Ireland",40,"Cork (EICK)",10265,125211,2924
2016,"EIDW","Dublin","Ireland",40,"Dublin (EIDW)",104797,1336624,279526
2016,"EKCH","Copenhagen/ Kastrup","Denmark",40,"Copenhagen/ Kastrup (EKCH)",125667,1463383,196546
2016,"ELLX","Luxembourg","Luxembourg",40,"Luxembourg (ELLX)",29248,379116,17758
2016,"ENBR","Bergen","Norway",40,"Bergen (ENBR)",33230,405558,35329
2016,"ENGM","Oslo/ Gardermoen","Norway",40,"Oslo/ Gardermoen (ENGM)",118491,1456616,225546
2016,"ENVA","Trondheim","Norway",40,"Trondheim (ENVA)",17290,194632,10064
2016,"ENZV","Stavanger","Norway",40,"Stavanger (ENZV)",25044,288436,15431
2016,"EPWA","Warszawa/ Chopina","Poland",40,"Warszawa/ Chopina (EPWA)",74612,981450,115396
2016,"ESGG","Göteborg","Sweden",40,"Göteborg (ESGG)",32753,432018,9680
