kpi,metric,plot_type,ranking,date_grouping,yearly,monthly,breakdown,legend,shortname
Taxi-Out Additional Time,Top 20 Airport Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TAXI_ADD_TOP20AIRPORTS_MON
ATC Pre-Departure Delay,AL Average Monthly Delays,line,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,ATC_PREDEP_AL_AVG
ATC Pre-Departure Delay,AL Average Monthly Delays (Yearly),line,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ATC_PREDEP_AL_AVG_TRENDS
ATC Pre-Departure Delay,AL Average Monthly Delays (Month),bar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,ATC_PREDEP_AL_AVG_MON
ATC Pre-Departure Delay,AL Total Monthly Delays,line,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,ATC_PREDEP_AL_TOT
ATC Pre-Departure Delay,AL Airport Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,ATC_PREDEP_AL_RANK_APT
ATC Pre-Departure Delay,AL Airport Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,ATC_PREDEP_AL_RANK_APT_MON
ATC Pre-Departure Delay,AL Top 20 Airport Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,ATC_PREDEP_AL_TOP20AIRPORTS
ATC Pre-Departure Delay,AL Top 20 Airport Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,ATC_REPDEP_AL_TOP20AIRPORTS_MON
ATC Pre-Departure Delay,APT Average Monthly Delays,line,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,ATC_PREDEP_APT_AVG
ATC Pre-Departure Delay,APT Average Monthly Delays (Yearly),line,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ATC_PREDEP_APT_AVG_TRENDS
ATC Pre-Departure Delay,APT Average Monthly Delays (Month),bar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,ATC_PREDEP_APT_AVG_MON
ATC Pre-Departure Delay,APT Total Monthly Delays,line,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,ATC_PREDEP_APT_TOT
ATC Pre-Departure Delay,APT Airport Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,ATC_PREDEP_APT_RANK_APT
ATC Pre-Departure Delay,APT Airport Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,ATC_PREDEP_APT_RANK_APT_MON
ATC Pre-Departure Delay,APT Top 20 Airport Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,ATC_PREDEP_APT_TOP20AIRPORTS
ATC Pre-Departure Delay,APT Top 20 Airport Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,ATC_REPDEP_APT_TOP20AIRPORTS_MON
5 in 1 Delay,Average Monthly Delays,bar,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5_in_1_AVG
5 in 1 Delay,Total Monthly Delays,bar,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5_in_1_TOT
Airport Delays,Delays per Flight (Pre-Dep AL),bar,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,APT_DELAYS_PLOTS
Airport Delays,Delays per Flight (Pre-Dep APT),bar,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,APT_DELAYS_PLOTS
En-Route vs Airport ATFM,Average Monthly Delays (Yearly),line,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ER_APT_ATFM_AVG_TRENDS
En-Route vs Airport ATFM,Average Monthly Delays (Month),bar,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,ER_APT_ATFM_AVG_MON
En-Route vs Airport ATFM,Total Monthly Delays (Yearly),bar,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ER_APT_ATFM_TOT_TRENDS
En-Route vs Airport ATFM,Total Monthly Delays (Month),bar,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,ER_APT_ATFM_TOT_MON
Traffic Forecast,IFR Movements per State,line,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IFR_FORECAST
